Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,0.36667,0.36667,0.36667,0.36667,0.36667,0.0
2011-12-04,,,,,,
2011-12-05,,,,,,
2011-12-06,,,,,,
2011-12-07,0.36667,0.36667,0.36667,0.36667,0.36667,0.0
2011-12-08,,,,,,
2011-12-11,0.27,0.27,0.27,0.27,0.27,30000.0
2011-12-12,,,,,,
2011-12-13,0.46667,0.5,0.46667,0.5,0.5,50880.0
2011-12-14,0.5,0.5,0.5,0.5,0.5,6000.0
2011-12-15,0.5,0.5,0.5,0.5,0.5,0.0
2011-12-18,,,,,,
2011-12-19,,,,,,
2011-12-20,,,,,,
2011-12-21,,,,,,
2011-12-22,,,,,,
2011-12-27,0.5,0.5,0.5,0.5,0.5,0.0
2011-12-28,,,,,,
2011-12-29,,,,,,
2012-01-02,0.5,0.5,0.5,0.5,0.5,0.0
2012-01-03,0.5,0.5,0.5,0.5,0.5,0.0
2012-01-04,,,,,,
2012-01-05,0.5,0.5,0.5,0.5,0.5,0.0
2012-01-08,,,,,,
2012-01-09,,,,,,
2012-01-10,,,,,,
2012-01-11,,,,,,
2012-01-12,0.46667,0.46667,0.46667,0.46667,0.46667,0.0
2012-01-15,,,,,,
2012-01-16,0.46667,0.46667,0.46667,0.46667,0.46667,0.0
2012-01-17,0.46667,0.46667,0.46667,0.46667,0.46667,0.0
2012-01-18,,,,,,
2012-01-19,,,,,,
2012-01-22,,,,,,
2012-01-23,,,,,,
2012-01-24,,,,,,
2012-01-26,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-01-29,,,,,,
2012-01-30,,,,,,
2012-01-31,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-01,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-02,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-05,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-06,,,,,,
2012-02-07,,,,,,
2012-02-08,,,,,,
2012-02-09,,,,,,
2012-02-12,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-13,,,,,,
2012-02-14,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-15,,,,,,
2012-02-16,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-19,,,,,,
2012-02-20,,,,,,
2012-02-21,,,,,,
2012-02-22,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-23,,,,,,
2012-02-26,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-27,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-02-28,,,,,,
2012-02-29,,,,,,
2012-03-01,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-03-04,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-03-05,,,,,,
2012-03-06,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-03-07,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-03-08,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-03-11,,,,,,
2012-03-12,0.35,0.35,0.35,0.35,0.35,0.0
2012-03-13,,,,,,
2012-03-14,,,,,,
2012-03-15,,,,,,
2012-03-18,,,,,,
2012-03-19,,,,,,
2012-03-20,,,,,,
2012-03-21,0.35,0.35,0.35,0.35,0.35,0.0
2012-03-22,0.35,0.35,0.35,0.35,0.35,0.0
2012-03-25,0.35,0.35,0.35,0.35,0.35,0.0
2012-03-26,,,,,,
2012-03-27,0.35,0.35,0.35,0.35,0.35,0.0
2012-03-28,0.35,0.35,0.35,0.35,0.35,0.0
2012-03-29,0.35,0.35,0.35,0.35,0.35,0.0
2012-04-02,,,,,,
2012-04-03,,,,,,
2012-04-04,,,,,,
2012-04-05,0.35,0.35,0.35,0.35,0.35,0.0
2012-04-10,,,,,,
2012-04-11,,,,,,
2012-04-12,,,,,,
2012-04-13,,,,,,
2012-04-16,0.35,0.35,0.35,0.35,0.35,0.0
2012-04-17,,,,,,
2012-04-18,,,,,,
2012-04-19,,,,,,
2012-04-20,0.35,0.35,0.35,0.35,0.35,0.0
2012-04-23,0.35,0.35,0.35,0.35,0.35,0.0
2012-04-24,,,,,,
2012-04-26,0.35,0.35,0.35,0.35,0.35,0.0
2012-04-27,,,,,,
2012-04-30,,,,,,
2012-05-01,0.3,0.3,0.3,0.3,0.3,0.0
2012-05-02,,,,,,
2012-05-03,,,,,,
2012-05-04,0.35,0.35,0.35,0.35,0.35,7500.0
2012-05-07,,,,,,
2012-05-08,0.38333,0.38333,0.38333,0.38333,0.38333,0.0
2012-05-09,,,,,,
2012-05-10,,,,,,
2012-05-11,,,,,,
2012-05-14,,,,,,
2012-05-15,,,,,,
2012-05-16,,,,,,
2012-05-17,0.41667,0.41667,0.41667,0.41667,0.41667,0.0
2012-05-18,,,,,,
2012-05-21,,,,,,
2012-05-22,0.41667,0.41667,0.41667,0.41667,0.41667,0.0
2012-05-23,,,,,,
2012-05-24,,,,,,
2012-05-25,,,,,,
2012-05-28,0.41667,0.41667,0.41667,0.41667,0.41667,0.0
2012-05-29,0.41667,0.41667,0.41667,0.41667,0.41667,0.0
2012-05-30,,,,,,
2012-05-31,0.41667,0.41667,0.41667,0.41667,0.41667,0.0
2012-06-01,,,,,,
2012-06-04,,,,,,
2012-06-05,,,,,,
2012-06-06,,,,,,
2012-06-07,,,,,,
2012-06-08,,,,,,
2012-06-12,,,,,,
2012-06-13,,,,,,
2012-06-14,,,,,,
2012-06-15,0.41667,0.41667,0.41667,0.41667,0.41667,0.0
2012-06-18,0.4,0.4,0.4,0.4,0.4,24000.0
2012-06-19,,,,,,
2012-06-20,,,,,,
2012-06-21,,,,,,
2012-06-22,,,,,,
2012-06-25,,,,,,
2012-06-26,,,,,,
2012-06-27,0.33333,0.33333,0.33333,0.33333,0.33333,0.0
2012-06-28,,,,,,
2012-06-29,,,,,,
2012-07-02,,,,,,
2012-07-03,,,,,,
2012-07-04,,,,,,
2012-07-05,0.3,0.3,0.3,0.3,0.3,1376.0
2012-07-06,,,,,,
2012-07-09,,,,,,
2012-07-10,0.3,0.3,0.3,0.3,0.3,0.0
2012-07-11,0.3,0.3,0.3,0.3,0.3,6124.0
2012-07-12,0.3,0.3,0.3,0.3,0.3,0.0
2012-07-13,,,,,,
2012-07-16,,,,,,
2012-07-17,,,,,,
2012-07-18,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.0
2012-07-19,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.0
2012-07-20,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.0
2012-07-23,,,,,,
2012-07-24,,,,,,
2012-07-25,,,,,,
2012-07-26,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.0
2012-07-27,,,,,,
2012-07-30,,,,,,
2012-07-31,,,,,,
2012-08-01,,,,,,
2012-08-02,,,,,,
2012-08-03,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.26666999999999996,0.0
2012-08-06,,,,,,
2012-08-07,,,,,,
2012-08-08,0.2,0.2,0.2,0.2,0.2,30000.0
2012-08-09,,,,,,
2012-08-10,,,,,,
2012-08-13,0.2,0.2,0.2,0.2,0.2,0.0
2012-08-14,0.2,0.2,0.2,0.2,0.2,0.0
2012-08-15,,,,,,
2012-08-16,,,,,,
2012-08-17,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-08-20,,,,,,
2012-08-21,,,,,,
2012-08-22,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-08-23,,,,,,
2012-08-24,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-08-27,,,,,,
2012-08-28,,,,,,
2012-08-29,0.15,0.15,0.15,0.15,0.15,0.0
2012-08-30,0.15,0.15,0.15,0.15,0.15,0.0
2012-08-31,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-03,,,,,,
2012-09-04,,,,,,
2012-09-05,,,,,,
2012-09-06,,,,,,
2012-09-07,,,,,,
2012-09-10,,,,,,
2012-09-11,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-12,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-13,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-14,,,,,,
2012-09-17,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-18,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-19,,,,,,
2012-09-20,,,,,,
2012-09-21,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-24,,,,,,
2012-09-25,0.15,0.15,0.15,0.15,0.15,0.0
2012-09-26,,,,,,
2012-09-27,,,,,,
2012-09-28,,,,,,
2012-10-01,,,,,,
2012-10-02,,,,,,
2012-10-03,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-04,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-05,,,,,,
2012-10-07,,,,,,
2012-10-08,,,,,,
2012-10-09,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-10,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-11,,,,,,
2012-10-14,,,,,,
2012-10-15,,,,,,
2012-10-16,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-17,,,,,,
2012-10-18,,,,,,
2012-10-21,,,,,,
2012-10-22,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-23,,,,,,
2012-10-24,0.15,0.15,0.15,0.15,0.15,0.0
2012-10-25,,,,,,
2012-10-28,,,,,,
2012-10-29,,,,,,
2012-10-30,,,,,,
2012-10-31,,,,,,
2012-11-01,,,,,,
2012-11-04,0.15,0.15,0.15,0.15,0.15,0.0
2012-11-05,0.15,0.15,0.15,0.15,0.15,0.0
2012-11-06,0.15,0.15,0.15,0.15,0.15,0.0
2012-11-07,,,,,,
2012-11-08,,,,,,
2012-11-11,,,,,,
2012-11-12,,,,,,
2012-11-13,,,,,,
2012-11-14,0.13333,0.13333,0.13333,0.13333,0.13333,33750.0
2012-11-15,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-18,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-19,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-20,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-21,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-22,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-25,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-26,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-27,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-28,0.13333,0.13333,0.13333,0.13333,0.13333,0.0
2012-11-29,,,,,,
2012-12-02,,,,,,
2012-12-03,,,,,,
2012-12-04,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-05,,,,,,
2012-12-06,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-09,,,,,,
2012-12-10,,,,,,
2012-12-11,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-12,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-13,,,,,,
2012-12-16,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-17,,,,,,
2012-12-18,,,,,,
2012-12-19,,,,,,
2012-12-20,,,,,,
2012-12-23,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-26,0.2,0.2,0.2,0.2,0.2,0.0
2012-12-27,,,,,,
2012-12-30,,,,,,
2013-01-01,,,,,,
2013-01-02,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-03,,,,,,
2013-01-06,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-07,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-08,,,,,,
2013-01-09,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-10,,,,,,
2013-01-13,,,,,,
2013-01-14,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-15,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-16,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-17,,,,,,
2013-01-20,,,,,,
2013-01-21,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-01-22,,,,,,
2013-01-23,,,,,,
2013-01-24,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-01-28,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-01-29,0.14,0.14,0.14,0.14,0.14,97500.0
2013-01-30,,,,,,
2013-01-31,0.14,0.14,0.14,0.14,0.14,49800.0
2013-02-03,,,,,,
2013-02-04,,,,,,
2013-02-05,0.14,0.14,0.14,0.14,0.14,0.0
2013-02-06,0.26666999999999996,0.28,0.25,0.25,0.25,27000.0
2013-02-07,0.23,0.23,0.18333,0.18333,0.18333,11100.0
2013-02-10,,,,,,
2013-02-11,0.16,0.16,0.16,0.16,0.16,0.0
2013-02-12,0.16,0.16,0.16,0.16,0.16,0.0
2013-02-13,0.16,0.16,0.16,0.16,0.16,0.0
2013-02-14,,,,,,
2013-02-17,,,,,,
2013-02-18,,,,,,
2013-02-19,,,,,,
2013-02-20,,,,,,
2013-02-21,0.16,0.16,0.16,0.16,0.16,0.0
2013-02-24,0.16,0.16,0.16,0.16,0.16,0.0
2013-02-25,,,,,,
2013-02-26,,,,,,
2013-02-27,,,,,,
2013-02-28,0.16,0.16,0.16,0.16,0.16,0.0
2013-03-03,,,,,,
2013-03-04,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-03-05,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-03-06,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-03-07,,,,,,
2013-03-10,,,,,,
2013-03-11,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-03-12,,,,,,
2013-03-13,,,,,,
2013-03-14,,,,,,
2013-03-17,0.13667,0.13667,0.13667,0.13667,0.13667,0.0
2013-03-18,,,,,,
2013-03-19,,,,,,
2013-03-20,,,,,,
2013-03-21,,,,,,
2013-03-24,,,,,,
2013-03-25,,,,,,
2013-03-26,,,,,,
2013-03-27,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-01,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-02,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-03,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-04,,,,,,
2013-04-08,,,,,,
2013-04-09,,,,,,
2013-04-10,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-11,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-12,,,,,,
2013-04-15,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-16,,,,,,
2013-04-17,,,,,,
2013-04-18,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-19,,,,,,
2013-04-22,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-23,,,,,,
2013-04-24,,,,,,
2013-04-26,,,,,,
2013-04-29,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-04-30,,,,,,
2013-05-01,,,,,,
2013-05-02,,,,,,
2013-05-03,,,,,,
2013-05-06,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-05-07,,,,,,
2013-05-08,,,,,,
2013-05-09,,,,,,
2013-05-10,,,,,,
2013-05-13,,,,,,
2013-05-14,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-05-15,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-05-16,,,,,,
2013-05-17,,,,,,
2013-05-20,,,,,,
2013-05-21,0.14667,0.14667,0.14667,0.14667,0.14667,0.0
2013-05-22,0.16667,0.18,0.16667,0.18,0.18,33300.0
2013-05-23,,,,,,
2013-05-24,,,,,,
2013-05-27,,,,,,
2013-05-28,,,,,,
2013-05-29,0.2,0.2,0.2,0.2,0.2,79500.0
2013-05-30,0.2,0.2,0.2,0.2,0.2,0.0
2013-05-31,,,,,,
2013-06-03,,,,,,
2013-06-04,,,,,,
2013-06-05,,,,,,
2013-06-06,0.2,0.2,0.2,0.2,0.2,0.0
2013-06-07,,,,,,
2013-06-11,0.2,0.2,0.2,0.2,0.2,0.0
2013-06-12,0.2,0.2,0.2,0.2,0.2,0.0
2013-06-13,0.2,0.2,0.2,0.2,0.2,0.0
2013-06-14,,,,,,
2013-06-17,,,,,,
2013-06-18,,,,,,
2013-06-19,,,,,,
2013-06-20,0.2,0.2,0.2,0.2,0.2,0.0
2013-06-21,,,,,,
2013-06-24,,,,,,
2013-06-25,0.11667000000000001,0.11667000000000001,0.11667000000000001,0.11667000000000001,0.11667000000000001,19500.0
2013-06-26,,,,,,
2013-06-27,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-06-28,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-07-01,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-07-02,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-07-03,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-07-04,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-07-05,,,,,,
2013-07-08,0.11333,0.11333,0.11333,0.11333,0.11333,0.0
2013-07-09,,,,,,
2013-07-10,0.1,0.1,0.1,0.1,0.1,27000.0
2013-07-11,,,,,,
2013-07-12,,,,,,
2013-07-15,,,,,,
2013-07-16,,,,,,
2013-07-17,,,,,,
2013-07-18,,,,,,
2013-07-19,,,,,,
2013-07-22,,,,,,
2013-07-23,,,,,,
2013-07-24,,,,,,
2013-07-25,,,,,,
2013-07-26,,,,,,
2013-07-29,0.1,0.1,0.1,0.1,0.1,0.0
2013-07-30,0.1,0.1,0.1,0.1,0.1,0.0
2013-07-31,,,,,,
2013-08-01,,,,,,
2013-08-02,,,,,,
2013-08-05,,,,,,
2013-08-06,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-07,,,,,,
2013-08-08,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-09,,,,,,
2013-08-12,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-13,,,,,,
2013-08-14,,,,,,
2013-08-15,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-16,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-19,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-20,,,,,,
2013-08-21,,,,,,
2013-08-22,,,,,,
2013-08-23,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-26,,,,,,
2013-08-27,,,,,,
2013-08-28,,,,,,
2013-08-29,0.1,0.1,0.1,0.1,0.1,0.0
2013-08-30,,,,,,
2013-09-02,0.1,0.1,0.1,0.1,0.1,0.0
2013-09-03,,,,,,
2013-09-04,0.03333,0.03333,0.03333,0.03333,0.03333,0.0
2013-09-05,,,,,,
2013-09-06,0.03333,0.03333,0.03333,0.03333,0.03333,0.0
2013-09-09,,,,,,
2013-09-10,0.03333,0.03333,0.03333,0.03333,0.03333,0.0
2013-09-11,,,,,,
2013-09-12,,,,,,
2013-09-13,,,,,,
2013-09-16,0.03333,0.03333,0.03333,0.03333,0.03333,0.0
2013-09-17,,,,,,
2013-09-18,0.03333,0.03333,0.03333,0.03333,0.03333,0.0
2013-09-19,0.03333,0.03333,0.03333,0.03333,0.03333,0.0
